Name,Image,Thumbnail
Volcarona from Plasma Blast (#13),http://pokebeach.com/scans/plasma-blast/13-volcarona.jpg,http://pokebeach.com/scans/plasma-blast/thumbnails/13-volcarona.jpg,
Squirtle from Plasma Blast (#14),http://pokebeach.com/scans/plasma-blast/14-squirtle.jpg,http://pokebeach.com/scans/plasma-blast/thumbnails/14-squirtle.jpg,
Wartortle from Plasma Blast (#15),http://pokebeach.com/scans/plasma-blast/15-wartortle.jpg,http://pokebeach.com/scans/plasma-blast/thumbnails/15-wartortle.jpg,
Blastoise from Plasma Blast (#16),http://pokebeach.com/scans/plasma-blast/16-blastoise.jpg,http://pokebeach.com/scans/plasma-blast/thumbnails/16-blastoise.jpg,
Lapras from Plasma Blast (#17),http://pokebeach.com/scans/plasma-blast/17-lapras.jpg,http://pokebeach.com/scans/plasma-blast/thumbnails/17-lapras.jpg,
Remoraid from Plasma Blast (#18),http://pokebeach.com/scans/plasma-blast/18-remoraid.jpg,http://pokebeach.com/scans/plasma-blast/thumbnails/18-remoraid.jpg,
Octillery from Plasma Blast (#19),http://pokebeach.com/scans/plasma-blast/19-octillery.jpg,http://pokebeach.com/scans/plasma-blast/thumbnails/19-octillery.jpg,
Suicune from Plasma Blast (#20),http://pokebeach.com/scans/plasma-blast/20-suicune.jpg,http://pokebeach.com/scans/plasma-blast/thumbnails/20-suicune.jpg,
Snorunt from Plasma Blast (#21),http://pokebeach.com/scans/plasma-blast/21-snorunt.jpg,http://pokebeach.com/scans/plasma-blast/thumbnails/21-snorunt.jpg,
Glalie from Plasma Blast (#22),http://pokebeach.com/scans/plasma-blast/22-glalie.jpg,http://pokebeach.com/scans/plasma-blast/thumbnails/22-glalie.jpg,
Froslass from Plasma Blast (#23),http://pokebeach.com/scans/plasma-blast/23-froslass.jpg,http://pokebeach.com/scans/plasma-blast/thumbnails/23-froslass.jpg,
Relicanth from Plasma Blast (#24),http://pokebeach.com/scans/plasma-blast/24-relicanth.jpg,http://pokebeach.com/scans/plasma-blast/thumbnails/24-relicanth.jpg,
Snover from Plasma Blast (#25),http://pokebeach.com/scans/plasma-blast/25-snover.jpg,http://pokebeach.com/scans/plasma-blast/thumbnails/25-snover.jpg,
Abomasnow from Plasma Blast (#26),http://pokebeach.com/scans/plasma-blast/26-abomasnow.jpg,http://pokebeach.com/scans/plasma-blast/thumbnails/26-abomasnow.jpg,
Tirtouga from Plasma Blast (#27),http://pokebeach.com/scans/plasma-blast/27-tirtouga.jpg,http://pokebeach.com/scans/plasma-blast/thumbnails/27-tirtouga.jpg,
Carracosta from Plasma Blast (#28),http://pokebeach.com/scans/plasma-blast/28-carracosta.jpg,http://pokebeach.com/scans/plasma-blast/thumbnails/28-carracosta.jpg,
Ducklett from Plasma Blast (#29),http://pokebeach.com/scans/plasma-blast/29-ducklett.jpg,http://pokebeach.com/scans/plasma-blast/thumbnails/29-ducklett.jpg,
Kyurem-EX from Plasma Blast (#30),http://pokebeach.com/scans/plasma-blast/30-kyurem-ex.jpg,http://pokebeach.com/scans/plasma-blast/thumbnails/30-kyurem-ex.jpg,
Tynamo from Plasma Blast (#31),http://pokebeach.com/scans/plasma-blast/31-tynamo.jpg,http://pokebeach.com/scans/plasma-blast/thumbnails/31-tynamo.jpg,
Eelektrik from Plasma Blast (#32),http://pokebeach.com/scans/plasma-blast/32-eelektrik.jpg,http://pokebeach.com/scans/plasma-blast/thumbnails/32-eelektrik.jpg,
Eelektross from Plasma Blast (#33),http://pokebeach.com/scans/plasma-blast/33-eelektross.jpg,http://pokebeach.com/scans/plasma-blast/thumbnails/33-eelektross.jpg,
Drifloon from Plasma Blast (#34),http://pokebeach.com/scans/plasma-blast/34-drifloon.jpg,http://pokebeach.com/scans/plasma-blast/thumbnails/34-drifloon.jpg,
Drifblim from Plasma Blast (#35),http://pokebeach.com/scans/plasma-blast/35-drifblim.jpg,http://pokebeach.com/scans/plasma-blast/thumbnails/35-drifblim.jpg,
Uxie from Plasma Blast (#36),http://pokebeach.com/scans/plasma-blast/36-uxie.jpg,http://pokebeach.com/scans/plasma-blast/thumbnails/36-uxie.jpg,
Mesprit from Plasma Blast (#37),http://pokebeach.com/scans/plasma-blast/37-mesprit.jpg,http://pokebeach.com/scans/plasma-blast/thumbnails/37-mesprit.jpg,
Azelf from Plasma Blast (#38),http://pokebeach.com/scans/plasma-blast/38-azelf.jpg,http://pokebeach.com/scans/plasma-blast/thumbnails/38-azelf.jpg,
Munna from Plasma Blast (#39),http://pokebeach.com/scans/plasma-blast/39-munna.jpg,http://pokebeach.com/scans/plasma-blast/thumbnails/39-munna.jpg,
Musharna from Plasma Blast (#40),http://pokebeach.com/scans/plasma-blast/40-musharna.jpg,http://pokebeach.com/scans/plasma-blast/thumbnails/40-musharna.jpg,
Sigilyph from Plasma Blast (#41),http://pokebeach.com/scans/plasma-blast/41-sigilyph.jpg,http://pokebeach.com/scans/plasma-blast/thumbnails/41-sigilyph.jpg,
Solosis from Plasma Blast (#42),http://pokebeach.com/scans/plasma-blast/42-solosis.jpg,http://pokebeach.com/scans/plasma-blast/thumbnails/42-solosis.jpg,
Duosion from Plasma Blast (#43),http://pokebeach.com/scans/plasma-blast/43-duosion.jpg,http://pokebeach.com/scans/plasma-blast/thumbnails/43-duosion.jpg,
Reuniclus from Plasma Blast (#44),http://pokebeach.com/scans/plasma-blast/44-reuniclus.jpg,http://pokebeach.com/scans/plasma-blast/thumbnails/44-reuniclus.jpg,
Golett from Plasma Blast (#45),http://pokebeach.com/scans/plasma-blast/45-golett.jpg,http://pokebeach.com/scans/plasma-blast/thumbnails/45-golett.jpg,
Golurk from Plasma Blast (#46),http://pokebeach.com/scans/plasma-blast/46-golurk.jpg,http://pokebeach.com/scans/plasma-blast/thumbnails/46-golurk.jpg,
Machop from Plasma Blast (#47),http://pokebeach.com/scans/plasma-blast/47-machop.jpg,http://pokebeach.com/scans/plasma-blast/thumbnails/47-machop.jpg,
Machoke from Plasma Blast (#48),http://pokebeach.com/scans/plasma-blast/48-machoke.jpg,http://pokebeach.com/scans/plasma-blast/thumbnails/48-machoke.jpg,
Machamp from Plasma Blast (#49),http://pokebeach.com/scans/plasma-blast/49-machamp.jpg,http://pokebeach.com/scans/plasma-blast/thumbnails/49-machamp.jpg,
Machamp from Plasma Blast (#50),http://pokebeach.com/scans/plasma-blast/50-machamp.jpg,http://pokebeach.com/scans/plasma-blast/thumbnails/50-machamp.jpg,
Throh from Plasma Blast (#51),http://pokebeach.com/scans/plasma-blast/51-throh.jpg,http://pokebeach.com/scans/plasma-blast/thumbnails/51-throh.jpg,
Sawk from Plasma Blast (#52),http://pokebeach.com/scans/plasma-blast/52-sawk.jpg,http://pokebeach.com/scans/plasma-blast/thumbnails/52-sawk.jpg,
Archen from Plasma Blast (#53),http://pokebeach.com/scans/plasma-blast/53-archen.jpg,http://pokebeach.com/scans/plasma-blast/thumbnails/53-archen.jpg,
Archeops from Plasma Blast (#54),http://pokebeach.com/scans/plasma-blast/54-archeops.jpg,http://pokebeach.com/scans/plasma-blast/thumbnails/54-archeops.jpg,
Houndour from Plasma Blast (#55),http://pokebeach.com/scans/plasma-blast/55-houndour.jpg,http://pokebeach.com/scans/plasma-blast/thumbnails/55-houndour.jpg,
Houndoom from Plasma Blast (#56),http://pokebeach.com/scans/plasma-blast/56-houndoom.jpg,http://pokebeach.com/scans/plasma-blast/thumbnails/56-houndoom.jpg,
Aron from Plasma Blast (#57),http://pokebeach.com/scans/plasma-blast/57-aron.jpg,http://pokebeach.com/scans/plasma-blast/thumbnails/57-aron.jpg,
Lairon from Plasma Blast (#58),http://pokebeach.com/scans/plasma-blast/58-lairon.jpg,http://pokebeach.com/scans/plasma-blast/thumbnails/58-lairon.jpg,
Aggron from Plasma Blast (#59),http://pokebeach.com/scans/plasma-blast/59-aggron.jpg,http://pokebeach.com/scans/plasma-blast/thumbnails/59-aggron.jpg,
Jirachi-EX from Plasma Blast (#60),http://pokebeach.com/scans/plasma-blast/60-jirachi-ex.jpg,http://pokebeach.com/scans/plasma-blast/thumbnails/60-jirachi-ex.jpg,
Escavalier from Plasma Blast (#61),http://pokebeach.com/scans/plasma-blast/61-escavalier.jpg,http://pokebeach.com/scans/plasma-blast/thumbnails/61-escavalier.jpg,
Bagon from Plasma Blast (#62),http://pokebeach.com/scans/plasma-blast/62-bagon.jpg,http://pokebeach.com/scans/plasma-blast/thumbnails/62-bagon.jpg,
Shelgon from Plasma Blast (#63),http://pokebeach.com/scans/plasma-blast/63-shelgon.jpg,http://pokebeach.com/scans/plasma-blast/thumbnails/63-shelgon.jpg,
Salamence from Plasma Blast (#64),http://pokebeach.com/scans/plasma-blast/64-salamence.jpg,http://pokebeach.com/scans/plasma-blast/thumbnails/64-salamence.jpg,
Dialga-EX from Plasma Blast (#65),http://pokebeach.com/scans/plasma-blast/65-dialga-ex.jpg,http://pokebeach.com/scans/plasma-blast/thumbnails/65-dialga-ex.jpg,
Palkia-EX from Plasma Blast (#66),http://pokebeach.com/scans/plasma-blast/66-palkia-ex.jpg,http://pokebeach.com/scans/plasma-blast/thumbnails/66-palkia-ex.jpg,
Axew from Plasma Blast (#67),http://pokebeach.com/scans/plasma-blast/67-axew.jpg,http://pokebeach.com/scans/plasma-blast/thumbnails/67-axew.jpg,
Fraxure from Plasma Blast (#68),http://pokebeach.com/scans/plasma-blast/68-fraxure.jpg,http://pokebeach.com/scans/plasma-blast/thumbnails/68-fraxure.jpg,
Haxorus from Plasma Blast (#69),http://pokebeach.com/scans/plasma-blast/69-haxorus.jpg,http://pokebeach.com/scans/plasma-blast/thumbnails/69-haxorus.jpg,
Druddigon from Plasma Blast (#70),http://pokebeach.com/scans/plasma-blast/70-druddigon.jpg,http://pokebeach.com/scans/plasma-blast/thumbnails/70-druddigon.jpg,
Kangaskhan from Plasma Blast (#71),http://pokebeach.com/scans/plasma-blast/71-kangaskhan.jpg,http://pokebeach.com/scans/plasma-blast/thumbnails/71-kangaskhan.jpg,
Porygon from Plasma Blast (#72),http://pokebeach.com/scans/plasma-blast/72-porygon.jpg,http://pokebeach.com/scans/plasma-blast/thumbnails/72-porygon.jpg,
Porygon2 from Plasma Blast (#73),http://pokebeach.com/scans/plasma-blast/73-porygon2.jpg,http://pokebeach.com/scans/plasma-blast/thumbnails/73-porygon2.jpg,
Porygon-Z from Plasma Blast (#74),http://pokebeach.com/scans/plasma-blast/74-porygon-z.jpg,http://pokebeach.com/scans/plasma-blast/thumbnails/74-porygon-z.jpg,
Teddiursa from Plasma Blast (#75),http://pokebeach.com/scans/plasma-blast/75-teddiursa.jpg,http://pokebeach.com/scans/plasma-blast/thumbnails/75-teddiursa.jpg,
Ursaring from Plasma Blast (#76),http://pokebeach.com/scans/plasma-blast/76-ursaring.jpg,http://pokebeach.com/scans/plasma-blast/thumbnails/76-ursaring.jpg,
Chatot from Plasma Blast (#77),http://pokebeach.com/scans/plasma-blast/77-chatot.jpg,http://pokebeach.com/scans/plasma-blast/thumbnails/77-chatot.jpg,
Caitlin from Plasma Blast (#78),http://pokebeach.com/scans/plasma-blast/78-caitlin.jpg,http://pokebeach.com/scans/plasma-blast/thumbnails/78-caitlin.jpg,
Cover Fossil from Plasma Blast (#79),http://pokebeach.com/scans/plasma-blast/79-cover-fossil.jpg,http://pokebeach.com/scans/plasma-blast/thumbnails/79-cover-fossil.jpg,
Energy Retrieval from Plasma Blast (#80),http://pokebeach.com/scans/plasma-blast/80-energy-retrieval.jpg,http://pokebeach.com/scans/plasma-blast/thumbnails/80-energy-retrieval.jpg,
Iris from Plasma Blast (#81),http://pokebeach.com/scans/plasma-blast/81-iris.jpg,http://pokebeach.com/scans/plasma-blast/thumbnails/81-iris.jpg,
Plume Fossil from Plasma Blast (#82),http://pokebeach.com/scans/plasma-blast/82-plume-fossil.jpg,http://pokebeach.com/scans/plasma-blast/thumbnails/82-plume-fossil.jpg,
Pokemon Catcher from Plasma Blast (#83),http://pokebeach.com/scans/plasma-blast/83-pokemon-catcher.jpg,http://pokebeach.com/scans/plasma-blast/thumbnails/83-pokemon-catcher.jpg,
Professor Juniper from Plasma Blast (#84),http://pokebeach.com/scans/plasma-blast/84-professor-juniper.jpg,http://pokebeach.com/scans/plasma-blast/thumbnails/84-professor-juniper.jpg,
Rare Candy from Plasma Blast (#85),http://pokebeach.com/scans/plasma-blast/85-rare-candy.jpg,http://pokebeach.com/scans/plasma-blast/thumbnails/85-rare-candy.jpg,
Reversal Trigger from Plasma Blast (#86),http://pokebeach.com/scans/plasma-blast/86-reversal-trigger.jpg,http://pokebeach.com/scans/plasma-blast/thumbnails/86-reversal-trigger.jpg,
Root Fossil Lileep from Plasma Blast (#87),http://pokebeach.com/scans/plasma-blast/87-root-fossil-lileep.jpg,http://pokebeach.com/scans/plasma-blast/thumbnails/87-root-fossil-lileep.jpg,
Silver Bangle from Plasma Blast (#88),http://pokebeach.com/scans/plasma-blast/88-silver-bangle.jpg,http://pokebeach.com/scans/plasma-blast/thumbnails/88-silver-bangle.jpg,
Silver Mirror from Plasma Blast (#89),http://pokebeach.com/scans/plasma-blast/89-silver-mirror.jpg,http://pokebeach.com/scans/plasma-blast/thumbnails/89-silver-mirror.jpg,
Ultra Ball from Plasma Blast (#90),http://pokebeach.com/scans/plasma-blast/90-ultra-ball.jpg,http://pokebeach.com/scans/plasma-blast/thumbnails/90-ultra-ball.jpg,
Plasma Energy from Plasma Blast (#91),http://pokebeach.com/scans/plasma-blast/91-plasma-energy.jpg,http://pokebeach.com/scans/plasma-blast/thumbnails/91-plasma-energy.jpg,
G Booster from Plasma Blast (#92),http://pokebeach.com/scans/plasma-blast/92-g-booster.jpg,http://pokebeach.com/scans/plasma-blast/thumbnails/92-g-booster.jpg,
G Scope from Plasma Blast (#93),http://pokebeach.com/scans/plasma-blast/93-g-scope.jpg,http://pokebeach.com/scans/plasma-blast/thumbnails/93-g-scope.jpg,
Master Ball from Plasma Blast (#94),http://pokebeach.com/scans/plasma-blast/94-master-ball.jpg,http://pokebeach.com/scans/plasma-blast/thumbnails/94-master-ball.jpg,
Scoop Up Cyclone from Plasma Blast (#95),http://pokebeach.com/scans/plasma-blast/95-scoop-up-cyclone.jpg,http://pokebeach.com/scans/plasma-blast/thumbnails/95-scoop-up-cyclone.jpg,
Virizion-EX from Plasma Blast (#96),http://pokebeach.com/scans/plasma-blast/96-virizion-ex.jpg,http://pokebeach.com/scans/plasma-blast/thumbnails/96-virizion-ex.jpg,
Genesect-EX from Plasma Blast (#97),http://pokebeach.com/scans/plasma-blast/97-genesect-ex.jpg,http://pokebeach.com/scans/plasma-blast/thumbnails/97-genesect-ex.jpg,
Jirachi-EX from Plasma Blast (#99),http://pokebeach.com/scans/plasma-blast/98-jirachi-ex.jpg,http://pokebeach.com/scans/plasma-blast/thumbnails/98-jirachi-ex.jpg,
Dialga-EX from Plasma Blast (#99),http://pokebeach.com/scans/plasma-blast/99-dialga-ex.jpg,http://pokebeach.com/scans/plasma-blast/thumbnails/99-dialga-ex.jpg,
Palkia-EX from Plasma Blast (#100),http://pokebeach.com/scans/plasma-blast/100-palkia-ex.jpg,http://pokebeach.com/scans/plasma-blast/thumbnails/100-palkia-ex.jpg,
Iris from Plasma Blast (#101),http://pokebeach.com/scans/plasma-blast/101-iris.jpg,http://pokebeach.com/scans/plasma-blast/thumbnails/101-iris.jpg,
Exeggcute from Plasma Blast (#102),http://pokebeach.com/scans/plasma-blast/102-exeggcute.jpg,http://pokebeach.com/scans/plasma-blast/thumbnails/102-exeggcute.jpg,
Virizion from Plasma Blast (#103),http://pokebeach.com/scans/plasma-blast/103-virizion.jpg,http://pokebeach.com/scans/plasma-blast/thumbnails/103-virizion.jpg,
Dusknoir from Plasma Blast (#104),http://pokebeach.com/scans/plasma-blast/104-dusknoir.jpg,http://pokebeach.com/scans/plasma-blast/thumbnails/104-dusknoir.jpg,
Rare Candy from Plasma Blast (#105),http://pokebeach.com/scans/plasma-blast/105-rare-candy.jpg,http://pokebeach.com/scans/plasma-blast/thumbnails/105-rare-candy.jpg,
Weedle from Plasma Freeze,http://pokebeach.com/scans/plasma-freeze/1-weedle.jpg,http://pokebeach.com/scans/plasma-freeze/thumbnails/1-weedle.gif,
Kakuna from Plasma Freeze,http://pokebeach.com/scans/plasma-freeze/2-kakuna.jpg,http://pokebeach.com/scans/plasma-freeze/thumbnails/2-kakuna.gif,
Beedrill from Plasma Freeze,http://pokebeach.com/scans/plasma-freeze/3-beedrill.jpg,http://pokebeach.com/scans/plasma-freeze/thumbnails/3-beedrill.gif,
Exeggcute from Plasma Freeze,http://pokebeach.com/scans/plasma-freeze/4-exeggcute.jpg,http://pokebeach.com/scans/plasma-freeze/thumbnails/4-exeggcute.gif,
Exeggutor from Plasma Freeze,http://pokebeach.com/scans/plasma-freeze/5-exeggutor.jpg,http://pokebeach.com/scans/plasma-freeze/thumbnails/5-exeggutor.gif,
Treecko from Plasma Freeze,http://pokebeach.com/scans/plasma-freeze/6-treecko.jpg,http://pokebeach.com/scans/plasma-freeze/thumbnails/6-treecko.gif,
Grovyle from Plasma Freeze,http://pokebeach.com/scans/plasma-freeze/7-grovyle.jpg,http://pokebeach.com/scans/plasma-freeze/thumbnails/7-grovyle.gif,
Sceptile from Plasma Freeze,http://pokebeach.com/scans/plasma-freeze/8-sceptile.jpg,http://pokebeach.com/scans/plasma-freeze/thumbnails/8-sceptile.gif,
Cacnea from Plasma Freeze,http://pokebeach.com/scans/plasma-freeze/9-cacnea.jpg,http://pokebeach.com/scans/plasma-freeze/thumbnails/9-cacnea.gif,
Cacturne from Plasma Freeze,http://pokebeach.com/scans/plasma-freeze/10-cacturne.jpg,http://pokebeach.com/scans/plasma-freeze/thumbnails/10-cacturne.gif,
Leafeon from Plasma Freeze,http://pokebeach.com/scans/plasma-freeze/11-leafeon.jpg,http://pokebeach.com/scans/plasma-freeze/thumbnails/11-leafeon.gif,
Flareon from Plasma Freeze,http://pokebeach.com/scans/plasma-freeze/12-flareon.jpg,http://pokebeach.com/scans/plasma-freeze/thumbnails/12-flareon.gif,
Heatran-EX from Plasma Freeze,http://pokebeach.com/scans/plasma-freeze/13-heatran-ex.jpg,http://pokebeach.com/scans/plasma-freeze/thumbnails/13-heatran-ex.gif,
Litwick from Plasma Freeze,http://pokebeach.com/scans/plasma-freeze/14-litwick.jpg,http://pokebeach.com/scans/plasma-freeze/thumbnails/14-litwick.gif,
Lampent from Plasma Freeze,http://pokebeach.com/scans/plasma-freeze/15-lampent.jpg,http://pokebeach.com/scans/plasma-freeze/thumbnails/15-lampent.gif,
Chandelure from Plasma Freeze,http://pokebeach.com/scans/plasma-freeze/16-chandelure.jpg,http://pokebeach.com/scans/plasma-freeze/thumbnails/16-chandelure.gif,
Reshiram from Plasma Freeze,http://pokebeach.com/scans/plasma-freeze/17-reshiram.jpg,http://pokebeach.com/scans/plasma-freeze/thumbnails/17-reshiram.gif,
Horsea from Plasma Freeze,http://pokebeach.com/scans/plasma-freeze/18-horsea.jpg,http://pokebeach.com/scans/plasma-freeze/thumbnails/18-horsea.gif,
Seadra from Plasma Freeze,http://pokebeach.com/scans/plasma-freeze/19-seadra.jpg,http://pokebeach.com/scans/plasma-freeze/thumbnails/19-seadra.gif,
Vaporeon from Plasma Freeze,http://pokebeach.com/scans/plasma-freeze/20-vaporeon.jpg,http://pokebeach.com/scans/plasma-freeze/thumbnails/20-vaporeon.gif,
Wooper from Plasma Freeze,http://pokebeach.com/scans/plasma-freeze/21-wooper.jpg,http://pokebeach.com/scans/plasma-freeze/thumbnails/21-wooper.gif,
Quagsire from Plasma Freeze,http://pokebeach.com/scans/plasma-freeze/22-quagsire.jpg,http://pokebeach.com/scans/plasma-freeze/thumbnails/22-quagsire.gif,
Glaceon from Plasma Freeze,http://pokebeach.com/scans/plasma-freeze/23-glaceon.jpg,http://pokebeach.com/scans/plasma-freeze/thumbnails/23-glaceon.gif,
Tympole from Plasma Freeze,http://pokebeach.com/scans/plasma-freeze/24-tympole.jpg,http://pokebeach.com/scans/plasma-freeze/thumbnails/24-tympole.gif,
Palpitoad from Plasma Freeze,http://pokebeach.com/scans/plasma-freeze/25-palpitoad.jpg,http://pokebeach.com/scans/plasma-freeze/thumbnails/25-palpitoad.gif,
Seismitoad from Plasma Freeze,http://pokebeach.com/scans/plasma-freeze/26-seismitoad.jpg,http://pokebeach.com/scans/plasma-freeze/thumbnails/26-seismitoad.gif,
Vanillite from Plasma Freeze,http://pokebeach.com/scans/plasma-freeze/27-vanillite.jpg,http://pokebeach.com/scans/plasma-freeze/thumbnails/27-vanillite.gif,
Vanillish from Plasma Freeze,http://pokebeach.com/scans/plasma-freeze/28-vanillish.jpg,http://pokebeach.com/scans/plasma-freeze/thumbnails/28-vanillish.gif,
Vanilluxe from Plasma Freeze,http://pokebeach.com/scans/plasma-freeze/29-vanilluxe.jpg,http://pokebeach.com/scans/plasma-freeze/thumbnails/29-vanilluxe.gif,
Cryogonal from Plasma Freeze,http://pokebeach.com/scans/plasma-freeze/30-cryogonal.jpg,http://pokebeach.com/scans/plasma-freeze/thumbnails/30-cryogonal.gif,
Kyurem from Plasma Freeze,http://pokebeach.com/scans/plasma-freeze/31-kyurem.jpg,http://pokebeach.com/scans/plasma-freeze/thumbnails/31-kyurem.gif,
Voltorb from Plasma Freeze,http://pokebeach.com/scans/plasma-freeze/32-voltorb.jpg,http://pokebeach.com/scans/plasma-freeze/thumbnails/32-voltorb.gif,
Electrode from Plasma Freeze,http://pokebeach.com/scans/plasma-freeze/33-electrode.jpg,http://pokebeach.com/scans/plasma-freeze/thumbnails/33-electrode.gif,
Jolteon from Plasma Freeze,http://pokebeach.com/scans/plasma-freeze/34-jolteon.jpg,http://pokebeach.com/scans/plasma-freeze/thumbnails/34-jolteon.gif,
Chinchou from Plasma Freeze,http://pokebeach.com/scans/plasma-freeze/35-chinchou.jpg,http://pokebeach.com/scans/plasma-freeze/thumbnails/35-chinchou.gif,
Lanturn from Plasma Freeze,http://pokebeach.com/scans/plasma-freeze/36-lanturn.jpg,http://pokebeach.com/scans/plasma-freeze/thumbnails/36-lanturn.gif,
Pachirisu from Plasma Freeze,http://pokebeach.com/scans/plasma-freeze/37-pachirisu.jpg,http://pokebeach.com/scans/plasma-freeze/thumbnails/37-pachirisu.gif,
Thundurus-EX from Plasma Freeze,http://pokebeach.com/scans/plasma-freeze/38-thundurus-ex.jpg,http://pokebeach.com/scans/plasma-freeze/thumbnails/38-thundurus-ex.gif,
Zekrom from Plasma Freeze,http://pokebeach.com/scans/plasma-freeze/39-zekrom.jpg,http://pokebeach.com/scans/plasma-freeze/thumbnails/39-zekrom.gif,
Nidoran f from Plasma Freeze,http://pokebeach.com/scans/plasma-freeze/40-nidoran-f.jpg,http://pokebeach.com/scans/plasma-freeze/thumbnails/40-nidoran-f.gif,
Nidorina from Plasma Freeze,http://pokebeach.com/scans/plasma-freeze/41-nidorina.jpg,http://pokebeach.com/scans/plasma-freeze/thumbnails/41-nidorina.gif,
Nidoqueen from Plasma Freeze,http://pokebeach.com/scans/plasma-freeze/42-nidoqueen.jpg,http://pokebeach.com/scans/plasma-freeze/thumbnails/42-nidoqueen.gif,
Nidoran m from Plasma Freeze,http://pokebeach.com/scans/plasma-freeze/43-nidoran-m.jpg,http://pokebeach.com/scans/plasma-freeze/thumbnails/43-nidoran-m.gif,
Nidorino from Plasma Freeze,http://pokebeach.com/scans/plasma-freeze/44-nidorino.jpg,http://pokebeach.com/scans/plasma-freeze/thumbnails/44-nidorino.gif,
Grimer from Plasma Freeze,http://pokebeach.com/scans/plasma-freeze/45-grimer.jpg,http://pokebeach.com/scans/plasma-freeze/thumbnails/45-grimer.gif,
Muk from Plasma Freeze,http://pokebeach.com/scans/plasma-freeze/46-muk.jpg,http://pokebeach.com/scans/plasma-freeze/thumbnails/46-muk.gif,
Mr mime from Plasma Freeze,http://pokebeach.com/scans/plasma-freeze/47-mr-mime.jpg,http://pokebeach.com/scans/plasma-freeze/thumbnails/47-mr-mime.gif,
Espeon from Plasma Freeze,http://pokebeach.com/scans/plasma-freeze/48-espeon.jpg,http://pokebeach.com/scans/plasma-freeze/thumbnails/48-espeon.gif,
Sableye from Plasma Freeze,http://pokebeach.com/scans/plasma-freeze/49-sableye.jpg,http://pokebeach.com/scans/plasma-freeze/thumbnails/49-sableye.gif,
Beldum from Plasma Freeze,http://pokebeach.com/scans/plasma-freeze/50-beldum.jpg,http://pokebeach.com/scans/plasma-freeze/thumbnails/50-beldum.gif,
Metang from Plasma Freeze,http://pokebeach.com/scans/plasma-freeze/51-metang.jpg,http://pokebeach.com/scans/plasma-freeze/thumbnails/51-metang.gif,
Metagross from Plasma Freeze,http://pokebeach.com/scans/plasma-freeze/52-metagross.jpg,http://pokebeach.com/scans/plasma-freeze/thumbnails/52-metagross.gif,
Deoxys-EX from Plasma Freeze,http://pokebeach.com/scans/plasma-freeze/53-deoxys-ex.jpg,http://pokebeach.com/scans/plasma-freeze/thumbnails/53-deoxys-ex.gif,
Yamask from Plasma Freeze,http://pokebeach.com/scans/plasma-freeze/54-yamask.jpg,http://pokebeach.com/scans/plasma-freeze/thumbnails/54-yamask.gif,
Yamask from Plasma Freeze,http://pokebeach.com/scans/plasma-freeze/55-yamask.jpg,http://pokebeach.com/scans/plasma-freeze/thumbnails/55-yamask.gif,
Cofagrigus from Plasma Freeze,http://pokebeach.com/scans/plasma-freeze/56-cofagrigus.jpg,http://pokebeach.com/scans/plasma-freeze/thumbnails/56-cofagrigus.gif,
Cofagrigus from Plasma Freeze,http://pokebeach.com/scans/plasma-freeze/57-cofagrigus.jpg,http://pokebeach.com/scans/plasma-freeze/thumbnails/57-cofagrigus.gif,
